Plant,Product,Pending_acknwoledgment,Remaining_Stock,Aging_range___31_40,Aging_range__61_90,Aging_range__91_120,Aging_range__121_130,Aging_range__151_180,Aging_range__greater_than_180
RCF Trombay,15-15-15,24455.0,2900839.0,2790.8,1042.98,2208.09,58731.0,3840.15,6385.27
RCF Compost,City Compest,330.0,1894.35,0.0,0.0,0.0,0.0,0.0,1094.35
RCF Import,Imported 10-26-20,30.0,790.61,60.2,255.0,122.71,225.25,68.5,45.35
RCF import,Imported 15-15-15,54335.0,140605.0,1486.05,45643.0,19662.0,4637.75,1912.0,155.0
RCF import,Imported 20 10013,383.75,14031.75,106215.0,1202.45,523.0,33.75,35.0,145.0
RCF Import,Imported DAP,1747.2,2205873.0,2948.38,45643.0,19662.0,4637.75,1912.0,155.0
RCF Tha,Neem Coated Urea(45 Kg),1222241.0,375018.0,12203.34,3761.32,427439.0,2002.04,2942.45,7495.54
RCF Trombay,Neem Coated Urea(45 Kg),1000.0,0.0,2942.71,904.22,335.78,,1054.92,732.64
RCF Th,RCF That Urea K,0.0,371.35,0.0,0.0,0.0,0.0,0.0,371.35
